iteration	commit	score	status	description
0	31a562c	100.0000	baseline	initial state
1	329a009	100.0000	keep	Add version constraint validation for AgentManifest.version field using a field_validator
2	309362e	100.0000	keep	Add validation for display_name field in AgentManifest to ensure it is non-empty and not excessively long
3	5077fb6	100.0000	keep	Add validation for description field in AgentManifest to ensure it is non-empty and not excessively long
4	1642ea5	100.0000	keep	Add validation for the name field in AgentManifest to ensure it follows the same rules as _is_valid_name in manifest.py
5	d9325c4	100.0000	keep	Add validation for the tags field in AgentManifest to ensure tag entries are non-empty, not too long, and the list is not excessively large
6	dba7e14	100.0000	keep	Add validation for the category field in AgentManifest to ensure it is a non-empty lowercase string with allowed values
7	efbd97e	100.0000	keep	Add validation for the author.name field in AuthorInfo to ensure it is non-empty and not excessively long
8	f294cc7	100.0000	keep	Add validation for the github field in AuthorInfo to ensure it is a valid GitHub URL or username handle
10	5f62240	100.0000	keep	Add validation for the website field in AuthorInfo to ensure it is a valid HTTP/HTTPS URL
